Name,Set,Set Code,Image URL
Garchomp C LV.X,145/147,pl3,https://images.pokemontcg.io/pl3/145_hires.png
Garchomp C,60/147,pl3,https://images.pokemontcg.io/pl3/60_hires.png
Luxray GL LV.X,109/111,pl2,https://images.pokemontcg.io/pl2/109_hires.png
Luxray GL,9/111,pl2,https://images.pokemontcg.io/pl2/9_hires.png
Dialga G,7/127,pl1,https://images.pokemontcg.io/pl1/7_hires.png
Dialga G LV.X,122/127,pl1,https://images.pokemontcg.io/pl1/122_hires.png
Dragonite FB,56/147,pl3,https://images.pokemontcg.io/pl3/56_hires.png
Crobat G,47/127,pl1,https://images.pokemontcg.io/pl1/47_hires.png
Lucario GL,8/111,pl2,https://images.pokemontcg.io/pl2/8_hires.png
Bronzong G,41/127,pl1,https://images.pokemontcg.io/pl1/41_hires.png
Uxie LV.X,146/146,dp6,https://images.pokemontcg.io/dp6/146_hires.png
Uxie,43/146,dp6,https://images.pokemontcg.io/dp6/43_hires.png
Azelf,19/146,dp6,https://images.pokemontcg.io/dp6/19_hires.png
Cyrus's Conspiracy,105/127,pl1,https://images.pokemontcg.io/pl1/105_hires.png
Professor Oak's New Theory,101/123,hgss1,https://images.pokemontcg.io/hgss1/101_hires.png
Pokemon Collector,97/123,hgss1,https://images.pokemontcg.io/hgss1/97_hires.png
Roseanne's Research,125/132,dp3,https://images.pokemontcg.io/dp3/125_hires.png
Bebe's Search,109/123,dp2,https://images.pokemontcg.io/dp2/109_hires.png
Aaron's Collection,88/111,pl2,https://images.pokemontcg.io/pl2/88_hires.png
Luxury Ball,86/100,dp7,https://images.pokemontcg.io/dp7/86_hires.png
Pokemon Communication,98/123,hgss1,https://images.pokemontcg.io/hgss1/98_hires.png
Team Galactic's Invention G-101 Energy Gain,116/127,pl1,https://images.pokemontcg.io/pl1/116_hires.png
Team Galactic's Invention G-103 Power Spray,117/127,pl1,https://images.pokemontcg.io/pl1/117_hires.png
Team Galactic's Invention G-105 Poke Turn,118/127,Unknown,Not Found
Team Galactic's Invention G-109 SP Radar,96/111,pl2,https://images.pokemontcg.io/pl2/96_hires.png
Night Maintenance,120/132,dp3,https://images.pokemontcg.io/dp3/120_hires.png
Double Colorless Energy,103/123,hgss1,https://images.pokemontcg.io/hgss1/103_hires.png
Warp Energy,95/100,dp7,https://images.pokemontcg.io/dp7/95_hires.png
Luxray GL,9/111,pl2,https://images.pokemontcg.io/pl2/9_hires.png
Luxray GL LV.X,109/111,pl2,https://images.pokemontcg.io/pl2/109_hires.png
Azelf,4/123,dp2,https://images.pokemontcg.io/dp2/4_hires.png
Azelf,19/146,dp6,https://images.pokemontcg.io/dp6/19_hires.png
Uxie,43/146,dp6,https://images.pokemontcg.io/dp6/43_hires.png
Mesprit,34/146,dp6,https://images.pokemontcg.io/dp6/34_hires.png
Unown Q,49/100,Unknown,Not Found
Crobat G,47/127,pl1,https://images.pokemontcg.io/pl1/47_hires.png
Sableye,48/100,dp7,https://images.pokemontcg.io/dp7/48_hires.png
Gyarados,19/100,dp7,https://images.pokemontcg.io/dp7/19_hires.png
Magikarp,65/100,ex7,https://images.pokemontcg.io/ex7/65_hires.png
Combee,79/130,dp1,https://images.pokemontcg.io/dp1/79_hires.png
Bebe's Search,109/123,dp2,https://images.pokemontcg.io/dp2/109_hires.png
Team Galactic's Invention G-105 Poke Turn,118/127,Unknown,Not Found
